step,time,kinetic,potential,total,temperature
52,2.60000000000000009e-1,9.71851225444123799e1,-2.03076685196496186e2,-1.05891562652083806e2,9.81667904489013976e-1
53,2.65000000000000013e-1,9.62824063347867423e1,-2.02168772544983000e2,-1.05886366210196257e2,9.72549558937239822e-1
54,2.70000000000000018e-1,9.54236831212386249e1,-2.01303262297842451e2,-1.05879579176603826e2,9.63875587083218410e-1
55,2.75000000000000022e-1,9.47377065045072868e1,-2.00609587858304934e2,-1.05871881353797647e2,9.56946530348558477e-1
56,2.80000000000000027e-1,9.43447740165317441e1,-2.00213794861957183e2,-1.05869020845425439e2,9.52977515318502499e-1
57,2.85000000000000031e-1,9.42789767469037514e1,-2.00155777956609484e2,-1.05876801209705732e2,9.52312896433371248e-1
58,2.89999999999999980e-1,9.44156631625684497e1,-2.00309641842476111e2,-1.05893978679907661e2,9.53693567298671163e-1
59,2.94999999999999984e-1,9.45024977681373173e1,-2.00412443300374719e2,-1.05909945532237401e2,9.54570684526639623e-1
60,2.99999999999999989e-1,9.42944985828478082e1,-2.00210958660358386e2,-1.05916460077510578e2,9.52469682655028405e-1
61,3.04999999999999993e-1,9.36793386455807280e1,-1.99591211453395204e2,-1.05911872807814476e2,9.46255945914956875e-1
62,3.09999999999999998e-1,9.27072258014202220e1,-1.98608128814261931e2,-1.05900903012841709e2,9.36436624256769878e-1
63,3.15000000000000002e-1,9.15367763367844134e1,-1.97425784242921139e2,-1.05889007906136726e2,9.24613902391761777e-1
64,3.20000000000000007e-1,9.03579555580398335e1,-1.96237349564992485e2,-1.05879394006952651e2,9.12706621798382134e-1
65,3.25000000000000011e-1,8.93370458520045361e1,-1.95209627927845702e2,-1.05872582075841166e2,9.02394402545500407e-1
66,3.30000000000000016e-1,8.86042059531228574e1,-1.94470949338369820e2,-1.05866743385246963e2,8.94991979324473275e-1
67,3.35000000000000020e-1,8.82655291331604843e1,-1.94127044095820537e2,-1.05861514962660053e2,8.91571001345055403e-1
68,3.40000000000000024e-1,8.84009070398722088e1,-1.94260411688406208e2,-1.05859504648533999e2,8.92938454948204119e-1
69,3.45000000000000029e-1,8.90351797643024838e1,-1.94898444952450262e2,-1.05863265188147778e2,8.99345250144469532e-1
70,3.50000000000000033e-1,9.01013158884030503e1,-1.95974002725823539e2,-1.05872686837420488e2,9.10114301903061085e-1
71,3.54999999999999982e-1,9.14465567300451596e1,-1.97330090100119264e2,-1.05883533370074105e2,9.23702593232779368e-1
72,3.59999999999999987e-1,9.28911080088806216e1,-1.98782205404530117e2,-1.05891097395649496e2,9.38294020291723485e-1
73,3.64999999999999991e-1,9.42970365455234685e1,-2.00189716635513406e2,-1.05892680089989938e2,9.52495318641651156e-1
74,3.69999999999999996e-1,9.56044588600151428e1,-2.01494593723123558e2,-1.05890134863108415e2,9.65701604646617584e-1
75,3.75000000000000000e-1,9.68181661021663302e1,-2.02704681285971049e2,-1.05886515183804718e2,9.77961273759255900e-1
76,3.80000000000000004e-1,9.79638198839730023e1,-2.03848688831872494e2,-1.05884868947899491e2,9.89533534181545438e-1
77,3.85000000000000009e-1,9.90491734342629542e1,-2.04934234957923024e2,-1.05885061523660070e2,1.00049670135619140e0
78,3.90000000000000013e-1,1.00055825260931783e2,-2.05942200825700837e2,-1.05886375564769054e2,1.01066490162557354e0
79,3.95000000000000018e-1,1.00952325182487243e2,-2.06839752051858682e2,-1.05887426869371438e2,1.01972045638876008e0
80,4.00000000000000022e-1,1.01710423262173492e2,-2.07598093639230655e2,-1.05887670377057162e2,1.02737801274922713e0
81,4.05000000000000027e-1,1.02313809688463422e2,-2.08201077361085055e2,-1.05887267672621633e2,1.03347282513599414e0
82,4.10000000000000031e-1,1.02761655045076637e2,-2.08647329690981934e2,-1.05885674645905297e2,1.03799651560683470e0
83,4.15000000000000036e-1,1.03069264771265665e2,-2.08952470530034503e2,-1.05883205758768838e2,1.04110368455823910e0
84,4.19999999999999984e-1,1.03267961806014128e2,-2.09147935513087276e2,-1.05879973707073148e2,1.04311072531327409e0
85,4.24999999999999989e-1,1.03407154527538864e2,-2.09283480418497305e2,-1.05876325890958441e2,1.04451671239938237e0
86,4.29999999999999993e-1,1.03545533224388720e2,-2.09418152393985821e2,-1.05872619169597101e2,1.04591447701402740e0
87,4.34999999999999998e-1,1.03731456908108470e2,-2.09602901217846295e2,-1.05871444309737825e2,1.04779249402129770e0
88,4.40000000000000002e-1,1.03981421615795469e2,-2.09854763118433794e2,-1.05873341502638326e2,1.05031739005854008e0
89,4.45000000000000007e-1,1.04269453463019076e2,-2.10147346109808666e2,-1.05877892646789590e2,1.05322680265675839e0
90,4.50000000000000011e-1,1.04531180451333100e2,-2.10415345711602214e2,-1.05884165260269114e2,1.05587050960942519e0
91,4.55000000000000016e-1,1.04675929764405581e2,-2.10567312831114663e2,-1.05891383066709082e2,1.05733262388288463e0
92,4.60000000000000020e-1,1.04606315983770642e2,-2.10504033128100332e2,-1.05897717144329690e2,1.05662945438152156e0
93,4.65000000000000024e-1,1.04245892678145267e2,-2.10146222682825339e2,-1.05900330004680072e2,1.05298881493076024e0
94,4.70000000000000029e-1,1.03573966210213058e2,-2.09471162893710954e2,-1.05897196683497896e2,1.04620167889104110e0
95,4.75000000000000033e-1,1.02652961345467148e2,-2.08541414495851797e2,-1.05888453150384649e2,1.03689859944916307e0
96,4.79999999999999982e-1,1.01625893545508660e2,-2.07502932107091965e2,-1.05877038561583305e2,1.02652417722736011e0
97,4.84999999999999987e-1,1.00670401123053338e2,-2.06539436433707607e2,-1.05869035310654269e2,1.01687273861670047e0
98,4.89999999999999991e-1,9.99209855452647986e1,-2.05788936772525318e2,-1.05867951227260519e2,1.00930288429560400e0
99,4.94999999999999996e-1,9.94127206597663928e1,-2.05286290962403257e2,-1.05873570302636864e2,1.00416889555319599e0
100,5.00000000000000000e-1,9.90939173790792154e1,-2.04973953069591062e2,-1.05880035690511846e2,1.00094866039473951e0
101,5.05000000000000004e-1,9.88918795703143161e1,-2.04775429796929956e2,-1.05883550226615640e2,9.98907874447619304e-1
102,5.10000000000000009e-1,9.87651205182991561e1,-2.04649520092379134e2,-1.05884399574079978e2,9.97627479982819754e-1
103,5.15000000000000013e-1,9.86915835955913110e1,-2.04579109980052550e2,-1.05887526384461239e2,9.96884682783750642e-1
104,5.20000000000000018e-1,9.86190461031710299e1,-2.04513452579672247e2,-1.05894406476501217e2,9.96151980840111362e-1
105,5.25000000000000022e-1,9.84477677598257799e1,-2.04349641999390002e2,-1.05901874239564222e2,9.94421896563896790e-1
106,5.30000000000000027e-1,9.80684779052091216e1,-2.03974953825705541e2,-1.05906475920496419e2,9.90590685911203250e-1
107,5.35000000000000031e-1,9.74140317125726511e1,-2.03320108746413155e2,-1.05906077033840504e2,9.83980118308814711e-1
108,5.40000000000000036e-1,9.64825325692216467e1,-2.02385178691905566e2,-1.05902646122683919e2,9.74571036052743866e-1
109,5.45000000000000040e-1,9.53307250983913832e1,-2.01226971470920944e2,-1.05896246372529561e2,9.62936617155468522e-1
110,5.50000000000000044e-1,9.40646842861622616e1,-1.99951444049137649e2,-1.05886759762975387e2,9.50148326122851161e-1
111,5.55000000000000049e-1,9.28476208464930153e1,-1.98720506118529642e2,-1.05872885272036626e2,9.37854756025181979e-1
112,5.60000000000000053e-1,9.18995840774041852e1,-1.97757002798962617e2,-1.05857418721558432e2,9.28278627044486715e-1
113,5.65000000000000058e-1,9.14531090970429545e1,-1.97299942192234852e2,-1.05846833095191897e2,9.23768778758009668e-1
114,5.70000000000000062e-1,9.16595051562685086e1,-1.97506584921738011e2,-1.05847079765469502e2,9.25853587437055592e-1
115,5.75000000000000067e-1,9.25047295168158996e1,-1.98363528581862852e2,-1.05858799065046952e2,9.34391207240564681e-1
116,5.79999999999999960e-1,9.38046982579194406e1,-1.99680705373954879e2,-1.05876007116035439e2,9.47522204625448894e-1
117,5.84999999999999964e-1,9.52877608682866821e1,-2.01178111638590082e2,-1.05890350770303399e2,9.62502635033198772e-1
118,5.89999999999999969e-1,9.67096544638675084e1,-2.02607111202704232e2,-1.05897456738836723e2,9.76865196604722263e-1
119,5.94999999999999973e-1,9.79289840264748221e1,-2.03825607104248803e2,-1.05896623077773981e2,9.89181656833079015e-1
120,5.99999999999999978e-1,9.89171573188273214e1,-2.04807511921404483e2,-1.05890354602577162e2,9.99163205240680030e-1
121,6.04999999999999982e-1,9.97171098524272281e1,-2.05601390764894404e2,-1.05884280912467176e2,1.00724353386290133e0
122,6.09999999999999987e-1,1.00387144765950111e2,-2.06267598882962062e2,-1.05880454117011951e2,1.01401156329242537e0
123,6.14999999999999991e-1,1.00960919288720078e2,-2.06840519313240804e2,-1.05879600024520727e2,1.01980726554262713e0
124,6.19999999999999996e-1,1.01431973489091334e2,-2.07313228721908615e2,-1.05881255232817281e2,1.02456538877870029e0
125,6.25000000000000000e-1,1.01761444090339424e2,-2.07645821925762732e2,-1.05884377835423308e2,1.02789337464989328e0
126,6.30000000000000004e-1,1.01897047339122196e2,-2.07784500231474226e2,-1.05887452892352030e2,1.02926310443557778e0
127,6.35000000000000009e-1,1.01788376307803077e2,-2.07679122942855912e2,-1.05890746635052835e2,1.02816541725053612e0
128,6.40000000000000013e-1,1.01396759964781197e2,-2.07289844302635203e2,-1.05893084337854006e2,1.02420969661395156e0
129,6.45000000000000018e-1,1.00705196882126899e2,-2.06598397002763022e2,-1.05893200120636124e2,1.01722421093057469e0
130,6.50000000000000022e-1,9.97345220662978988e1,-2.05624613481953730e2,-1.05890091415655831e2,1.00741941481108999e0
131,6.55000000000000027e-1,9.85663453825803373e1,-2.04448179701999891e2,-1.05881834319419553e2,9.95619650329094275e-1
132,6.60000000000000031e-1,9.73610111046843940e1,-2.03229188150833664e2,-1.05868177046149270e2,9.83444556612973697e-1
133,6.65000000000000036e-1,9.63523314737578573e1,-2.02205114706426116e2,-1.05852783232668259e2,9.73255873472301580e-1
134,6.70000000000000040e-1,9.57910607608079090e1,-2.01633029274232456e2,-1.05841968513424547e2,9.67586472331393055e-1
135,6.75000000000000044e-1,9.58432127922831683e1,-2.01686445568123190e2,-1.05843232775840022e2,9.68113260528112862e-1
136,6.80000000000000049e-1,9.64988405814615930e1,-2.02355461140721530e2,-1.05856620559259937e2,9.74735763449106951e-1
137,6.85000000000000053e-1,9.75631165816133858e1,-2.03438993934079690e2,-1.05875877352466304e2,9.85486026076902832e-1
138,6.90000000000000058e-1,9.87501159582746624e1,-2.04642280914603703e2,-1.05892164956329040e2,9.97475918770451164e-1
139,6.95000000000000062e-1,9.98117756049570346e1,-2.05710796297070658e2,-1.05899020692113623e2,1.00819975358542457e0
140,7.00000000000000067e-1,1.00619765722838437e2,-2.06517445677835326e2,-1.05897679954996889e2,1.01636126992766096e0
141,7.04999999999999960e-1,1.01166752916732790e2,-2.07058591627345294e2,-1.05891838710612504e2,1.02188639309831109e0
142,7.09999999999999964e-1,1.01514383596136895e2,-2.07400292721841993e2,-1.05885909125705098e2,1.02539781410239295e0
143,7.14999999999999969e-1,1.01728199916602961e2,-2.07611655209559132e2,-1.05883455292956171e2,1.02755757491518152e0
144,7.19999999999999973e-1,1.01837229503754514e2,-2.07721351589038136e2,-1.05884122085283622e2,1.02865888387630822e0
145,7.24999999999999978e-1,1.01831872509087759e2,-2.07718130197214407e2,-1.05886257688126648e2,1.02860477281906837e0
146,7.29999999999999982e-1,1.01682087104698851e2,-2.07570078309564195e2,-1.05887991204865344e2,1.02709178893635200e0
147,7.34999999999999987e-1,1.01359823066685422e2,-2.07248494832424939e2,-1.05888671765739517e2,1.02383659663318616e0
148,7.39999999999999991e-1,1.00853955536895839e2,-2.06742154453879607e2,-1.05888198916983768e2,1.01872682360500844e0
149,7.44999999999999996e-1,1.00170861044982658e2,-2.06057634340946038e2,-1.05886773295963380e2,1.01182687924224912e0
150,7.50000000000000000e-1,9.93347607845677913e1,-2.05219459359110402e2,-1.05884698574542611e2,1.00338142206634129e0
151,7.55000000000000004e-1,9.83903099662455816e1,-2.04271279773243663e2,-1.05880969806998081e2,9.93841514810561377e-1
152,7.60000000000000009e-1,9.74036299051241770e1,-2.03279143363902449e2,-1.05875513458778272e2,9.83875049546708902e-1
153,7.65000000000000013e-1,9.64653177719252710e1,-2.02333646354693997e2,-1.05868328582768726e2,9.74397149211366331e-1
154,7.70000000000000018e-1,9.56905119431909270e1,-2.01550912772556472e2,-1.05860400829365545e2,9.66570827708999269e-1
155,7.75000000000000022e-1,9.52084256493968866e1,-2.01060873305202193e2,-1.05852447655805307e2,9.61701269185827101e-1
156,7.80000000000000027e-1,9.51373149883441442e1,-2.00984772713334081e2,-1.05847457724989937e2,9.60982979680243932e-1
157,7.85000000000000031e-1,9.55461699637096729e1,-2.01394326246222704e2,-1.05848156282513031e2,9.65112827916259297e-1
158,7.90000000000000036e-1,9.64203835365162121e1,-2.02274487726510387e2,-1.05854104189994175e2,9.73943268045618260e-1
159,7.95000000000000040e-1,9.76597495012853472e1,-2.03523409211561301e2,-1.05863659710275954e2,9.86462116174599446e-1
160,8.00000000000000044e-1,9.91064034076002827e1,-2.04980473985541551e2,-1.05874070577941268e2,1.00107478189495236e0
161,8.05000000000000049e-1,1.00580801786702438e2,-2.06465147816505521e2,-1.05884346029803083e2,1.01596769481517613e0
162,8.10000000000000053e-1,1.01910136544531412e2,-2.07802679088489270e2,-1.05892542543957859e2,1.02939531863163047e0
163,8.15000000000000058e-1,1.02947755571304327e2,-2.08845368363132735e2,-1.05897612791828408e2,1.03987631890206389e0
164,8.20000000000000062e-1,1.03592083071592569e2,-2.09491298065562148e2,-1.05899214993969579e2,1.04638467749083408e0
165,8.25000000000000067e-1,1.03803942147068923e2,-2.09700830439941058e2,-1.05896888292872134e2,1.04852466815221135e0
166,8.30000000000000071e-1,1.03607730641198643e2,-2.09499452917989714e2,-1.05891722276791072e2,1.04654273374948126e0
167,8.34999999999999964e-1,1.03074318797720082e2,-2.08960277988143332e2,-1.05885959190423250e2,1.04115473533050595e0
168,8.39999999999999969e-1,1.02292375980121037e2,-2.08173506566235176e2,-1.05881130586114139e2,1.03325632303152570e0
169,8.44999999999999973e-1,1.01340193574894400e2,-2.07218511918757599e2,-1.05878318343863199e2,1.02363831893832735e0
170,8.49999999999999978e-1,1.00270846847909880e2,-2.06148351202017437e2,-1.05877504354107558e2,1.01283683684757464e0
171,8.54999999999999982e-1,9.91125801464402940e1,-2.04990084138170374e2,-1.05877503991730080e2,1.00113717319636653e0
172,8.59999999999999987e-1,9.78802037111733227e1,-2.03757796574256105e2,-1.05877592863082782e2,9.88688926375488109e-1
173,8.64999999999999991e-1,9.65950016250286581e1,-2.02471293925102543e2,-1.05876292300073885e2,9.75707087121501560e-1
174,8.69999999999999996e-1,9.53010153357431022e1,-2.01174405847329439e2,-1.05873390511586337e2,9.62636518542859587e-1
175,8.75000000000000000e-1,9.40649000970779952e1,-1.99935151876519370e2,-1.05870251779441375e2,9.50150506031090858e-1
176,8.80000000000000004e-1,9.29544535933115839e1,-1.98824203105973254e2,-1.05869749512661670e2,9.38933874679914959e-1
177,8.85000000000000009e-1,9.20003320336223425e1,-1.97875221415367832e2,-1.05874889381745490e2,9.29296283167902470e-1
178,8.90000000000000013e-1,9.11614322027148347e1,-1.97046346894967456e2,-1.05884914692252622e2,9.20822547502170075e-1
179,8.95000000000000018e-1,9.03246344045217455e1,-1.96221738410105672e2,-1.05897104005583927e2,9.12370044490118604e-1
180,9.00000000000000022e-1,8.93554087979980949e1,-1.95260821989208580e2,-1.05905413191210485e2,9.02579886848465573e-1
181,9.05000000000000027e-1,8.81790628474857385e1,-1.94083425813994154e2,-1.05904362966508415e2,8.90697604520057973e-1
182,9.10000000000000031e-1,8.68535651225042216e1,-1.92745773651515350e2,-1.05892208529011128e2,8.77308738611153771e-1
183,9.15000000000000036e-1,8.55877636922205056e1,-1.91460990349929062e2,-1.05873226657708557e2,8.64522865577984856e-1
184,9.20000000000000040e-1,8.46829932053695273e1,-1.90537742009961192e2,-1.05854748804591665e2,8.55383769751207335e-1
185,9.25000000000000044e-1,8.44165169230811188e1,-1.90262204336424787e2,-1.05845687413343668e2,8.52692090132132541e-1
186,9.30000000000000049e-1,8.49201148226651270e1,-1.90770702924639892e2,-1.05850588101974765e2,8.57778937602678093e-1
187,9.35000000000000053e-1,8.61225647879927863e1,-1.91988429577431759e2,-1.05865864789438973e2,8.69924896848412010e-1
188,9.40000000000000058e-1,8.77913197089434476e1,-1.93675072474314817e2,-1.05883752765371369e2,8.86781007161044910e-1
189,9.45000000000000062e-1,8.96432729815506519e1,-1.95539949606178851e2,-1.05896676624628199e2,9.05487605874249035e-1
190,9.50000000000000067e-1,9.14548725883581852e1,-1.97355720878107974e2,-1.05900848289749788e2,9.23786591801597834e-1
191,9.55000000000000071e-1,9.31206306539775142e1,-1.99017068995526444e2,-1.05896438341548929e2,9.40612430848257741e-1
192,9.59999999999999964e-1,9.46486129093721331e1,-2.00536865564740111e2,-1.05888252655367978e2,9.56046595044163006e-1
193,9.64999999999999969e-1,9.61110639317266902e1,-2.01991375657430041e2,-1.05880311725703351e2,9.70818827593198930e-1
194,9.69999999999999973e-1,9.75759778188979112e1,-2.03453228361069307e2,-1.05877250542171396e2,9.85615937564625400e-1
195,9.74999999999999978e-1,9.90464556939032832e1,-2.04926919128335129e2,-1.05880463434431846e2,1.00046924943336646e0
196,9.79999999999999982e-1,1.00441421536064382e2,-2.06328930083617422e2,-1.05887508547553040e2,1.01455981349559976e0
197,9.84999999999999987e-1,1.01622233000924368e2,-2.07517604599028516e2,-1.05895371598104148e2,1.02648720202953903e0
198,9.89999999999999991e-1,1.02443036248282510e2,-2.08344253057993001e2,-1.05901216809710490e2,1.03477814392204559e0
199,9.94999999999999996e-1,1.02793399386214844e2,-2.08697278958909067e2,-1.05903879572694223e2,1.03831716551732156e0
200,1.00000000000000000e0,1.02620273153675484e2,-2.08522836678961767e2,-1.05902563525286283e2,1.03656841569369185e0
201,1.00500000000000012e0,1.01939553448966947e2,-2.07836877390687590e2,-1.05897323941720643e2,1.02969245908047413e0
202,1.01000000000000001e0,1.00839371106491612e2,-2.06727241231637237e2,-1.05887870125145625e2,1.01857950612617798e0
203,1.01500000000000012e0,9.94731622972010001e1,-2.05349296255258992e2,-1.05876133958057991e2,1.00477941714344454e0
204,1.02000000000000002e0,9.80271853787408816e1,-2.03893381568199828e2,-1.05866196189458947e2,9.90173589684251287e-1
205,1.02499999999999991e0,9.66605328010825815e1,-2.02522615188970178e2,-1.05862082387887597e2,9.76369018192753346e-1
206,1.03000000000000003e0,9.54522820685020292e1,-2.01316226672843044e2,-1.05863944604341015e2,9.64164465338404386e-1
207,1.03499999999999992e0,9.43897209248453493e1,-2.00259533819335559e2,-1.05869812894490209e2,9.53431524493387417e-1
208,1.04000000000000004e0,9.34021653530406581e1,-1.99278253446480392e2,-1.05876088093439733e2,9.43456215687279331e-1
209,1.04499999999999993e0,9.24124586756353494e1,-1.98292350630978547e2,-1.05879891955343197e2,9.33459178541771184e-1
210,1.05000000000000004e0,9.13730395126342074e1,-1.97253896663274219e2,-1.05880857150640011e2,9.22959995077113238e-1
211,1.05499999999999994e0,9.02803265099045404e1,-1.96159525570137447e2,-1.05879199060232907e2,9.11922489999035801e-1
212,1.06000000000000005e0,8.91746468358565352e1,-1.95049343968737588e2,-1.05874697132881053e2,9.00754008442995358e-1
213,1.06499999999999995e0,8.81362303053472971e1,-1.94004382918167778e2,-1.05868152612820481e2,8.90264952579265634e-1
214,1.07000000000000006e0,8.72782036112270561e1,-1.93138249835026784e2,-1.05860046223799728e2,8.81598016275020768e-1
215,1.07499999999999996e0,8.67292933681261786e1,-1.92581907451533766e2,-1.05852614083407587e2,8.76053468364910937e-1
216,1.08000000000000007e0,8.66045540787130648e1,-1.92452985702247446e2,-1.05848431623534381e2,8.74793475542556265e-1
217,1.08499999999999996e0,8.69707998888576270e1,-1.92819418426834233e2,-1.05848618537976606e2,8.78492928170279019e-1
218,1.09000000000000008e0,8.78258814181297822e1,-1.93678388635810137e2,-1.05852507217680355e2,8.87130115334644254e-1
219,1.09499999999999997e0,8.91084723528670395e1,-1.94966158712172160e2,-1.05857686359305120e2,9.00085579321889262e-1
220,1.10000000000000009e0,9.07303676587048216e1,-1.96592101127968647e2,-1.05861733469263825e2,9.16468360188937625e-1
221,1.10499999999999998e0,9.26098166879653348e1,-1.98473891664908649e2,-1.05864074976943314e2,9.35452693817831693e-1
222,1.11000000000000010e0,9.46830277543657388e1,-2.00548420415388307e2,-1.05865392661022568e2,9.56394219741068086e-1
223,1.11499999999999999e0,9.68940440073274232e1,-2.02761721141022718e2,-1.05867677133695295e2,9.78727717245731599e-1
224,1.12000000000000011e0,9.91769177621653597e1,-2.05048470810736575e2,-1.05871553048571215e2,1.00178704810268049e0
225,1.12500000000000000e0,1.01442005923796998e2,-2.07319389339518892e2,-1.05877383415721894e2,1.02466672650300006e0
226,1.13000000000000012e0,1.03572211180954028e2,-2.09457438227012432e2,-1.05885227046058404e2,1.04618395132276798e0
227,1.13500000000000001e0,1.05429769443024071e2,-2.11323318223534159e2,-1.05893548780510088e2,1.06494716609115225e0
228,1.14000000000000012e0,1.06867135413484036e2,-2.12769480434200659e2,-1.05902345020716623e2,1.07946601427761646e0
229,1.14500000000000002e0,1.07745180624021032e2,-2.13654828143406206e2,-1.05909647519385175e2,1.08833515781839418e0
